Time (s),Ay (m/s²),Fᵧ (N)
7.829999923706055,-11.623026847839355,-0.2584158480167389
7.840000152587891,-11.963617324829102,-0.33120930194854736
7.849999904632568,-12.295670509338379,-0.3858043849468231
7.860000133514404,-12.642236709594727,-0.4585978090763092
7.869999885559082,-12.911214828491211,-0.513192892074585
7.880000114440918,-13.183792114257812,-0.5768871903419495
7.889999866485596,-13.793023109436035,-0.6769781708717346
7.900000095367432,-13.82812786102295,-0.6769781708717346
7.909999847412109,-14.028203964233398,-0.7133749127388
7.920000076293945,-14.440018653869629,-0.7952675223350525
7.929999828338623,-14.470747947692871,-0.7952675223350525
7.940000057220459,-14.59609317779541,-0.8316642642021179
7.949999809265137,-14.723673820495605,-0.858961820602417
7.960000038146973,-14.828692436218262,-0.858961820602417
7.96999979019165,-14.90153694152832,-0.8862593173980713
7.980000019073486,-14.958510398864746,-0.8862593173980713
7.989999771118164,-14.952569007873535,-0.8862593173980713
8,-14.904780387878418,-0.8953585028648376
8.010000228881836,-14.83626937866211,-0.8953585028648376
8.020000457763672,-14.731616020202637,-0.8680609464645386
8.029999732971191,-14.598703384399414,-0.8589617609977722
8.039999961853027,-14.423144340515137,-0.8316642642021179
8.050000190734863,-14.196440696716309,-0.8043667078018188
8.0600004196167,-13.9861421585083,-0.7679699659347534
8.069999694824219,-13.713926315307617,-0.7224740982055664
8.079999923706055,-13.375014305114746,-0.6678789854049683
8.09000015258789,-13.046507835388184,-0.6223831176757812
8.100000381469727,-12.759882926940918,-0.5677880048751831
8.109999656677246,-12.431050300598145,-0.513192892074585
8.119999885559082,-12.09891414642334,-0.4585978090763092
8.130000114440918,-11.744523048400879,-0.37670519948005676
8.140000343322754,-11.344341278076172,-0.33120930194854736
8.149999618530273,-10.964458465576172,-0.2584158480167389
8.15999984741211,-10.591750144958496,-0.18562239408493042
8.170000076293945,-10.236091613769531,-0.11282894760370255
8.180000305175781,-9.785086631774902,-0.04003550484776497
8.1899995803833,-9.37207317352295,0.03275793790817261
8.199999809265137,-8.994758605957031,0.09645220637321472
8.210000038146973,-8.623661041259766,0.169245645403862
8.220000267028809,-8.23139476776123,0.24203909933567047
8.229999542236328,-7.870237827301025,0.3057333528995514
8.239999771118164,-7.499960899353027,0.3694276213645935
8.25,-7.160321235656738,0.4331218898296356
8.260000228881836,-6.846175670623779,0.49681615829467773
8.270000457763672,-6.4916558265686035,0.5423120856285095
8.279999732971191,-6.211939811706543,0.5969071388244629
8.289999961853027,-5.940567493438721,0.651502251625061
8.300000190734863,-5.717146873474121,0.696998119354248
8.3100004196167,-5.518911361694336,0.7515932321548462
8.319999694824219,-5.31171989440918,0.7788907885551453
8.329999923706055,-5.148599624633789,0.8061883449554443
8.34000015258789,-5.0295329093933105,0.8334858417510986
8.350000381469727,-4.911297798156738,0.8516842126846313
8.359999656677246,-4.8248162269592285,0.8698825836181641
8.369999885559082,-4.761814594268799,0.8698825836181641
